schema_name,document_type,schema_strata_name,base_path
answer,answer,answer_et_al,/limousine-licensing
answer,answer,answer_et_al,/get-document-legalised
transaction,transaction,answer_et_al,/check-the-patents-journal
answer,answer,answer_et_al,/report-untaxed-vehicle
answer,answer,answer_et_al,/ataxia-and-driving
licence,licence,answer_et_al,/licensed-premises-gaming-machine-permit-scotland
answer,answer,answer_et_al,/myasthenia-gravis-and-driving
licence,licence,answer_et_al,/independent-school-registration-northern-ireland
answer,answer,answer_et_al,/financial-support-victim-of-crime
licence,licence,answer_et_al,/non-domestic-energy-assessor-accreditation-ni
transaction,transaction,answer_et_al,/report-security-staff-or-companies
licence,licence,answer_et_al,/permission-to-place-tables-and-chairs-on-the-pavement
transaction,transaction,answer_et_al,/file-your-company-annual-accounts
licence,licence,answer_et_al,/radioactive-substances-certificate-of-registration-northern-ireland
answer,answer,answer_et_al,/who-can-run-charity-finances
transaction,transaction,answer_et_al,/book-pupil-theory-test
answer,answer,answer_et_al,/optic-neuritis-and-driving
answer,answer,answer_et_al,/paranoid-schizophrenia-and-driving
answer,answer,answer_et_al,/private-hire-vehicle-operator-licence-outside-london
answer,answer,answer_et_al,/report-changes-child-benefit
licence,licence,answer_et_al,/licences-use-music-online-mobile
answer,answer,answer_et_al,/seafarer-skills-and-training
answer,answer,answer_et_al,/id-for-driving-licence
transaction,transaction,answer_et_al,/find-business-rates
answer,answer,answer_et_al,/protect-land-property-from-fraud
answer,answer,answer_et_al,/pay-challenge-fine-environmental-offence
answer,answer,answer_et_al,/if-my-child-gets-in-trouble-with-police
answer,answer,answer_et_al,/how-to-have-your-benefits-paid
answer,answer,answer_et_al,/acoustic-neuroma-and-driving
transaction,transaction,answer_et_al,/dvla-fleet-vehicle-info
licence,licence,answer_et_al,/laser-intense-pulsed-light-treatment-registration-wales
licence,licence,answer_et_al,/become-approved-building-inspector-england-and-wales
transaction,transaction,answer_et_al,/check-marine-licence-register
transaction,transaction,answer_et_al,/armed-forces-redundancy-calculator
answer,answer,answer_et_al,/free-discount-tv-licence
answer,answer,answer_et_al,/narcolepsy-and-driving
licence,licence,answer_et_al,/erect-scaffolding-hoardings-on-road-northern-ireland
answer,answer,answer_et_al,/report-hate-crime
answer,answer,answer_et_al,/automatic-driving-licence-to-manual
answer,answer,answer_et_al,/vehicle-exempt-from-vehicle-tax
licence,licence,answer_et_al,/children-s-day-care-provider-registration-wales
transaction,transaction,answer_et_al,/get-information-about-a-company
answer,answer,answer_et_al,/visual-field-defects-and-driving
answer,answer,answer_et_al,/drug-use-and-driving
answer,answer,answer_et_al,/get-a-ppc
transaction,transaction,answer_et_al,/search-armed-forces-memorial-roll-of-honour
answer,answer,answer_et_al,/simple-assessment
licence,licence,answer_et_al,/food-irradiation-licence-northern-ireland
answer,answer,answer_et_al,/severe-disablement-allowance
licence,licence,answer_et_al,/caravan-site-licence
answer,answer,answer_et_al,/tax-come-to-uk
licence,licence,answer_et_al,/hackney-carriage-licence
licence,licence,answer_et_al,/registration-of-aquaculture-businesses-scotland
answer,answer,answer_et_al,/time-off-work-public-duties
licence,licence,answer_et_al,/animal-products-import-licence-northern-ireland
answer,answer,answer_et_al,/drink-drive-limit
answer,answer,answer_et_al,/valve-disease-and-driving
transaction,transaction,answer_et_al,/commemorative-marriage-certificate
consultation,closed_consultation,consultation,/government/consultations/supplier-standard-for-digital-and-technology-service-providers
consultation,closed_consultation,consultation,/government/consultations/ifrs-16-leases-exposure-draft-1801
consultation,closed_consultation,consultation,/government/consultations/consultation-load-line-length-lll-policy-clarification-hullform-cut-outs-extension-and-steps
consultation,consultation_outcome,consultation,/government/consultations/infrastructure-planning-regulations-fees
consultation,consultation_outcome,consultation,/government/consultations/local-government-pension-scheme-2014-draft-regulations-on-membership-contributions-and-benefits
consultation,closed_consultation,consultation,/government/consultations/changes-to-the-school-admission-appeals-code
consultation,closed_consultation,consultation,/government/consultations/southern-north-sea-sci-proposed-marine-licence-condition
consultation,consultation_outcome,consultation,/government/consultations/a160-and-a180-improvement-at-the-port-of-immingham
consultation,closed_consultation,consultation,/government/consultations/commonly-littered-single-use-plastic-items-call-for-evidence
consultation,consultation_outcome,consultation,/government/consultations/statutory-guidance-on-how-the-groceries-code-adjudicator-will-carry-out-investigation-and-enforcement-functions
consultation,consultation_outcome,consultation,/government/consultations/single-source-cost-standards-statutory-guidance-on-allowable-costs
consultation,closed_consultation,consultation,/government/consultations/independent-review-of-research-bureaucracy
consultation,consultation_outcome,consultation,/government/consultations/prohibiting-third-party-betting-on-non-uk-euromillions-draws
consultation,consultation_outcome,consultation,/government/consultations/eligibility-for-free-school-meals-and-the-early-years-pupil-premium-under-universal-credit
consultation,consultation_outcome,consultation,/government/consultations/revised-guidance-for-virtual-school-heads-and-designated-teachers
consultation,closed_consultation,consultation,/government/consultations/draft-legislation-the-value-added-tax-refund-of-tax-to-museums-and-galleries-amendment-order-2020
consultation,consultation_outcome,consultation,/government/consultations/call-for-evidence-on-raising-awareness-of-employee-ownership
consultation,closed_consultation,consultation,/government/consultations/periodic-review-2013-charter-operators
consultation,consultation_outcome,consultation,/government/consultations/call-for-evidence-nats-government-share-ownership
consultation,consultation_outcome,consultation,/government/consultations/re-scoping-of-the-bank-levy
consultation,consultation_outcome,consultation,/government/consultations/solar-pv-banded-support-levels
consultation,closed_consultation,consultation,/government/consultations/consultation-on-designing-and-developing-accessible-assessments
consultation,consultation_outcome,consultation,/government/consultations/strategic-environmental-assessment-of-the-proposed-new-rural-development-programme-in-england
consultation,consultation_outcome,consultation,/government/consultations/proposed-merger-of-west-midlands-pension-funds
consultation,consultation_outcome,consultation,/government/consultations/spaceport-and-spaceflight-activities-regulations-and-guidance
consultation,consultation_outcome,consultation,/government/consultations/bathing-waters-review-2014-henleaze-lake-and-shoreham-beach
consultation,consultation_outcome,consultation,/government/consultations/environmental-report-for-further-onshore-oil-and-gas-licensing
consultation,closed_consultation,consultation,/government/consultations/train-services-delay-attribution-review-scoping-stage
consultation,consultation_outcome,consultation,/government/consultations/local-government-finance-settlement-2019-to-2020-technical-consultation
contact,contact,contact,/government/organisations/hm-passport-office/contact/hm-passport-office-webchat
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/get-help-with-the-eat-out-to-help-out-scheme
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/guardians-allowance-helpline
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/non-resident-landlords
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/national-insurance-enquiries-for-employees-and-individuals
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/tax-credits-agent-priority-line
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/international-tax-debt
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/air-passenger-duty
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/corporation-tax-payment
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/stamp-duty-reserve-tax
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/stamp-duty-land-tax-forms-ordering
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/non-uk-resident-entertainers
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/change-your-personal-details
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/vat-insolvency
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/llinell-gymorth-y-gwasanaeth-gofal-plant
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/couriers
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/vat-general-enquiries
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/excise-movement-and-control-system-emcs-enquiries
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/repayments-where-to-send-claim-forms
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/tax-avoidance-getting-out-of-an-avoidance-scheme
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/self-assessment-online-services-helpdesk
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/northern-ireland-corporate-tax-office
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/stamp-taxes-online-services-helpdesk
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/income-tax-enquiries-for-individuals-pensioners-and-employees
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/complain-about-hmrc-online-services
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/self-assessment-payment
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/corporation-tax-forms-ordering
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/online-services-helpdesk
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/capital-gains-tax-enquiries-for-individuals-employees-and-self-employed
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/ir35-enquiries
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/welsh-language-helpline-for-debt-management
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/welsh-language-helplines
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/llinell-gymorth-coronafeirws-covid-19-ar-gyfer-busnesau-a-r-hunangyflogedig
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/childcare-service-helpline
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/inheritance-tax-payments
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/my-campaigns-let-property
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/national-insurance-enquiries-for-non-uk-residents
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/automatic-exchange-of-information-financial-institutions
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/report-a-benefit-thief-online
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/enquiries-from-employers-with-expatriate-employees
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/miscellaneous-payments-teams
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/report-fraud-to-hmrc
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/child-benefit
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/pensions-helpline-contracted-out
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/non-uk-expatriate-employees-expats
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/offshore-disclosure-facility-helpdesk
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/employer-stationery-and-forms-ordering
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/budd-dal-plant-ymholiadau-cyffredinol
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/money-laundering
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/construction-industry-scheme
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/non-uk-residents-payment-helpline
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/vat-online-services-helpdesk
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/duty-deferment-scheme-general-enquiries
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/online-debit-and-credit-card-payments
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/seafarers-tax-enquiries
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/tax-credits-payment
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/probate-general-enquiries
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/corporation-tax-enquiries
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/get-help-from-hmrc-s-extra-support-team
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/employer-paye-payment
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/vat-reliefs-for-disabled-and-older-people
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/stamp-duty-enquiries-shares-and-land
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/statutory-notices-information-returns
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/national-insurance-enquiries-for-the-self-employed
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/probate-and-inheritance-tax-enquiries
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/seafarers-national-insurance
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/business-payment-support-service
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/bereavement-and-deceased-estate
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/vat-overseas-repayments-for-non-eu-businesses
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/agent-dedicated-line-debt-management
