,weights,n
answer_et_al,2.0,58.0
case_study,0.0,
consultation,1.0,29.0
contact,4.0,116.0
corporate_information_page,2.0,58.0
detailed_guide,0.0,
document_collection,0.0,
fatality_notice,1.0,29.0
guide,0.0,
hmrc_manual_section,0.0,
html_publication,0.0,
manual,0.0,
news_article,4.0,116.0
person,8.0,232.0
place_travel,1.0,29.0
pub_correspondence,1.0,29.0
pub_foi_notice,1.0,29.0
pub_decision_report,0.0,
pub_research,0.5,14.0
pub_stats,0.5,14.0
pub_standard_et_al,0.0,
pub_corporate_report,0.5,14.0
form,1.0,29.0
guidance,1.0,29.0
policy_paper,1.0,29.0
role,4.0,116.0
specialist_docs_aaib,1.0,29.0
specialist_docs_decisions,0.0,
specialist_docs_research_dev,0.0,
specialist_docs_others,0.0,
speech,2.0,58.0
statistics,0.1,3.0
topic_take_part,2.0,58.0
organisation,8.0,232.0
